Time (s),Processed X Mag,Processed Y Mag,Processed Z Mag,,
25.3876932,0.235901059,-0.170593392,-0.620728013,,25.39
25.45280067,0.235901059,-0.159912231,-0.634155757,,25.46
25.51362714,0.233154475,-0.168151984,-0.628662589,,25.52
25.57561623,0.233154475,-0.151672479,-0.620728013,,25.58
25.63771052,0.233154475,-0.17608656,-0.625916005,,25.64
25.7002086,0.249328804,-0.170593392,-0.623169421,,25.71
25.76362586,0.235901059,-0.184326313,-0.617981429,,25.77
25.82472206,0.235901059,-0.173339976,-0.623169421,,25.83
25.88659377,0.249328804,-0.170593392,-0.620728013,,25.89
25.94987697,0.235901059,-0.17608656,-0.631409173,,25.95
26.01363612,0.241089051,-0.17608656,-0.625916005,,26.02
26.07498762,0.238342467,-0.168151984,-0.634155757,,26.08
26.13665695,0.233154475,-0.1654054,-0.625916005,,26.14
26.19882565,0.235901059,-0.173339976,-0.623169421,,26.2
26.26188114,0.243835635,-0.168151984,-0.617981429,,26.27
26.3239844,0.235901059,-0.168151984,-0.620728013,,26.33
26.38663963,0.233154475,-0.168151984,-0.620728013,,26.39
26.44877625,0.243835635,-0.1654054,-0.634155757,,26.45
26.51071178,0.230407891,-0.170593392,-0.625916005,,26.52
26.57366047,0.238342467,-0.187072897,-0.620728013,,26.58
26.63571339,0.241089051,-0.1654054,-0.617981429,,26.64
26.70092862,0.235901059,-0.1654054,-0.628662589,,26.71
26.76176632,0.241089051,-0.170593392,-0.620728013,,26.77
26.82365855,0.243835635,-0.173339976,-0.636902341,,26.83
26.88672077,0.235901059,-0.173339976,-0.639648926,,26.89
26.94771306,0.246582219,-0.170593392,-0.620728013,,26.95
27.01078523,0.252075388,-0.1654054,-0.620728013,,27.02
27.07466786,0.241089051,-0.173339976,-0.623169421,,27.08
27.13478971,0.238342467,-0.173339976,-0.625916005,,27.14
27.19878042,0.238342467,-0.1654054,-0.625916005,,27.2
27.26076695,0.241089051,-0.178833144,-0.620728013,,27.27
27.32420281,0.241089051,-0.1654054,-0.620728013,,27.33
27.38670313,0.241089051,-0.162658816,-0.615234844,,27.39
27.44674929,0.243835635,-0.1654054,-0.628662589,,27.45
27.5099087,0.246582219,-0.170593392,-0.634155757,,27.51
27.57178906,0.238342467,-0.168151984,-0.628662589,,27.58
27.63569062,0.257568556,-0.162658816,-0.636902341,,27.64
27.69799594,0.235901059,-0.17608656,-0.620728013,,27.7
27.75993211,0.243835635,-0.17608656,-0.625916005,,27.76
27.82171722,0.243835635,-0.168151984,-0.615234844,,27.83
27.88471017,0.230407891,-0.173339976,-0.631409173,,27.89
27.946884,0.238342467,-0.173339976,-0.628662589,,27.95
28.00876308,0.227661307,-0.181579728,-0.631409173,,28.01
28.07178393,0.230407891,-0.17608656,-0.623169421,,28.08
28.13475507,0.246582219,-0.17608656,-0.609741676,,28.14
28.1957589,0.227661307,-0.181579728,-0.606995092,,28.2
28.25881439,0.235901059,-0.17608656,-0.628662589,,28.26
28.3208471,0.233154475,-0.173339976,-0.631409173,,28.33
28.38287147,0.238342467,-0.178833144,-0.631409173,,28.39
28.44690709,0.227661307,-0.173339976,-0.606995092,,28.45
28.50771047,0.238342467,-0.184326313,-0.620728013,,28.51
28.57076404,0.224914722,-0.173339976,-0.628662589,,28.58
28.63297635,0.233154475,-0.170593392,-0.617981429,,28.64
28.69475056,0.243835635,-0.181579728,-0.623169421,,28.7
28.75773036,0.230407891,-0.173339976,-0.628662589,,28.76
28.81988237,0.243835635,-0.17608656,-0.628662589,,28.82
28.88490998,0.227661307,-0.173339976,-0.625916005,,28.89
28.94732371,0.241089051,-0.1654054,-0.623169421,,28.95
29.00727814,0.233154475,-0.170593392,-0.620728013,,29.01
29.06983138,0.243835635,-0.181579728,-0.620728013,,29.07
29.13188589,0.238342467,-0.17608656,-0.623169421,,29.14
29.19686668,0.241089051,-0.173339976,-0.623169421,,29.2
29.25748051,0.238342467,-0.170593392,-0.623169421,,29.26
29.31882014,0.243835635,-0.151672479,-0.623169421,,29.32
29.38177877,0.260009964,-0.170593392,-0.631409173,,29.39
29.44405234,0.233154475,-0.173339976,-0.623169421,,29.45
29.50704561,0.241089051,-0.168151984,-0.620728013,,29.51
29.56893881,0.238342467,-0.187072897,-0.623169421,,29.57
29.63088332,0.252075388,-0.168151984,-0.636902341,,29.64
29.69384035,0.246582219,-0.17608656,-0.625916005,,29.7
29.75743112,0.230407891,-0.168151984,-0.631409173,,29.76
29.81792886,0.238342467,-0.181579728,-0.625916005,,29.82
29.88305236,0.224914722,-0.184326313,-0.617981429,,29.89
29.94287786,0.246582219,-0.178833144,-0.623169421,,29.95
30.00736698,0.235901059,-0.173339976,-0.615234844,,30.01
30.06883586,0.235901059,-0.173339976,-0.623169421,,30.07
30.1308025,0.235901059,-0.173339976,-0.628662589,,30.14
30.19281436,0.227661307,-0.173339976,-0.634155757,,30.2
30.25487914,0.238342467,-0.187072897,-0.623169421,,30.26
30.31898179,0.243835635,-0.173339976,-0.631409173,,30.32
30.3818984,0.238342467,-0.184326313,-0.628662589,,30.39
30.44396639,0.235901059,-0.178833144,-0.623169421,,30.45
