Time (s),Processed X Mag,Processed Y Mag,Processed Z Mag,,Time(s)
21.89562433,0.214233562,-0.222168138,-0.61248826,,21.9
21.95874012,0.214233562,-0.208740394,-0.61248826,,21.96
22.01867242,0.230407891,-0.208740394,-0.604248508,,22.02
22.08165478,0.219421554,-0.214233562,-0.628662589,,22.09
22.14366248,0.208740394,-0.214233562,-0.599060516,,22.15
22.20666697,0.235901059,-0.21667497,-0.606995092,,22.21
22.27094569,0.21667497,-0.211486978,-0.606995092,,22.28
22.3327927,0.230407891,-0.219421554,-0.61248826,,22.34
22.39270191,0.224914722,-0.208740394,-0.623169421,,22.4
22.45784883,0.21667497,-0.219421554,-0.601501924,,22.46
22.51793315,0.214233562,-0.219421554,-0.601501924,,22.52
22.58084945,0.200500641,-0.214233562,-0.593567347,,22.59
22.64268876,0.211486978,-0.219421554,-0.61248826,,22.65
22.70671476,0.214233562,-0.197754057,-0.609741676,,22.71
22.7708081,0.20599381,-0.21667497,-0.606995092,,22.78
22.83077376,0.200500641,-0.222168138,-0.601501924,,22.84
22.89383053,0.214233562,-0.20599381,-0.61248826,,22.9
22.95696235,0.222168138,-0.20599381,-0.617981429,,22.96
23.01687509,0.224914722,-0.233154475,-0.590820763,,23.02
23.07971634,0.230407891,-0.211486978,-0.599060516,,23.08
23.14170832,0.20599381,-0.211486978,-0.606995092,,23.15
23.20488119,0.214233562,-0.227661307,-0.61248826,,23.21
23.26878082,0.224914722,-0.21667497,-0.604248508,,23.27
23.32869613,0.211486978,-0.208740394,-0.61248826,,23.33
23.39170158,0.219421554,-0.219421554,-0.601501924,,23.4
23.45494245,0.21667497,-0.211486978,-0.596313932,,23.46
23.51789723,0.214233562,-0.214233562,-0.606995092,,23.52
23.57957073,0.21667497,-0.214233562,-0.606995092,,23.58
23.64088919,0.224914722,-0.21667497,-0.604248508,,23.65
23.70489723,0.222168138,-0.214233562,-0.609741676,,23.71
23.76587476,0.200500641,-0.219421554,-0.606995092,,23.77
23.82873237,0.21667497,-0.222168138,-0.604248508,,23.83
23.89173943,0.224914722,-0.222168138,-0.599060516,,23.9
23.95471378,0.214233562,-0.208740394,-0.599060516,,23.96
24.01573942,0.21667497,-0.21667497,-0.606995092,,24.02
24.07779426,0.219421554,-0.21667497,-0.620728013,,24.08
24.14186355,0.214233562,-0.21667497,-0.606995092,,24.15
24.20483757,0.203247225,-0.21667497,-0.604248508,,24.21
24.26591004,0.224914722,-0.208740394,-0.601501924,,24.27
24.32775673,0.219421554,-0.214233562,-0.604248508,,24.33
24.38993569,0.235901059,-0.21667497,-0.615234844,,24.39
24.45490204,0.233154475,-0.214233562,-0.623169421,,24.46
24.51479361,0.222168138,-0.21667497,-0.606995092,,24.52
24.57787155,0.214233562,-0.21667497,-0.596313932,,24.58
24.64177727,0.227661307,-0.21667497,-0.609741676,,24.65
24.70174261,0.214233562,-0.214233562,-0.620728013,,24.71
24.76483883,0.214233562,-0.214233562,-0.606995092,,24.77
24.82843538,0.21667497,-0.20599381,-0.601501924,,24.83
24.88887186,0.21667497,-0.219421554,-0.606995092,,24.89
24.95480197,0.219421554,-0.20599381,-0.593567347,,24.96
25.01378237,0.227661307,-0.222168138,-0.617981429,,25.02
25.07877342,0.208740394,-0.219421554,-0.599060516,,25.08
25.13983017,0.203247225,-0.208740394,-0.601501924,,25.14
25.20181958,0.214233562,-0.214233562,-0.599060516,,25.21
